year,Bank nonperforming loans to total gross loans (%),"Central government debt, total (% of GDP)",Domestic credit to private sector (% of GDP),"Foreign direct investment, net inflows (% of GDP)",GDP growth (annual %),"Government expenditure on education, total (% of GDP)",High-technology exports (% of manufactured exports),"Inflation, consumer prices (annual %)","Population, total",Research and development expenditure (% of GDP)
1960,,,,,,,,,667070000.0,
1961,,,,,-27.2700000039227,,,,660330000.0,
1962,,,,,-5.57999999020275,,,,665770000.0,
1963,,,,,10.2999999964787,,,,682335000.0,
1964,,,,,18.1799999937238,,,,698355000.0,
1965,,,,,16.9500000039607,,,,715185000.0,
1966,,,,,10.6499999984073,,,,735400000.0,
1967,,,,,-5.77000000405035,,,,754550000.0,
1968,,,,,-4.09999998651148,,,,774510000.0,
1969,,,,,16.9399999960691,,,,796025000.0,
1970,,,,,19.2999999967145,,,,818315000.0,
1971,,,,,7.05999999854134,1.38873994350433,,,841105000.0,
1972,,,,,3.81000000021395,1.60476005077362,,,862030000.0,
1973,,,,,7.76000000082682,1.65082001686096,,,881940000.0,
1974,,,,,2.31000000295589,1.76115000247955,,,900350000.0,
1975,,,,,8.71999999750163,1.70850002765656,,,916395000.0,
1976,,,,,-1.5700000016835,1.81657004356384,,,930685000.0,
1977,,,51.1784615384615,,7.57000000137049,1.74953997135162,,,943455000.0,
1978,,,50.2894700004489,,11.3259779879134,1.95884001255035,,,956165000.0,
1979,,,49.7408375608811,4.4873083502658e-05,7.5913246800003,2.14805006980896,,,969005000.0,
1980,,,52.6268628075733,0.0298196364663713,7.83414501593799,1.91190004348755,,,981235000.0,
1981,,,56.0128369645587,0.135296316146172,5.11276109058912,1.94880998134613,,,993885000.0,
1982,,,56.8044129374708,0.209664356764914,9.01711391382203,2.03448009490967,,,1008630000.0,
1983,,,56.9862689284041,0.275698542655107,10.7702025065715,2.07692003250122,,,1023310000.0,
1984,,,60.7212832215627,0.483945714588724,15.1915400236134,1.99863004684448,,,1036825000.0,
1985,,,66.1922673045488,0.536046583129515,13.4306775204064,2.00814008712769,,,1051040000.0,
1986,,,75.9741967525257,0.623424605798281,8.94996176438008,2.06154990196228,,,1066790000.0,
1987,,,78.0370949013971,0.847702964733309,11.6574277931357,1.80425000190735,,7.23383553065604,1084035000.0,
1988,,,73.9836236530485,1.02255894629729,11.222594982521,1.76417994499207,,18.8118179448753,1101630000.0,
1989,,,77.1332899211029,0.97565028966922,4.20633435547815,,,18.2456383621648,1118650000.0,
1990,,,86.200461355157,0.966308310992784,3.92025136776569,,,3.05229012075235,1135185000.0,
1991,,,88.3623934536212,1.13883773180262,9.26278608406234,,,3.55668565220449,1150780000.0,
1992,,,86.3728816885016,2.61316219284371,14.2245295931824,1.65455996990204,,6.3539813402487,1164970000.0,
